医院,科室,套餐,时长,手术天数,价格 HKD,备注,链接
深圳新風和睦家醫院,骨科,骨科小手術＆運動醫學關節鏡手術,日間 / 住院,2晚 - 4晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$11,000-$140,625""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术术式（肿块切除/腱鞘囊肿/冰冻肩松解/交叉韧带重建/半月板成形修复/踝关节韧带修补）与复杂程度及手术风险等级。标准住院天数为日間至4晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,麻醉科,疼痛管理 (神經阻滯/射頻/三叉神經壓迫/鞘內泵植入),日間 / 住院,3晚 - 5晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$4,500-$343,750""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：处置类别（超声引导阻滞/手术室神经造影/射频治疗/三叉神经球囊压迫/鞘内镇痛泵植入）与手术风险等级。标准住院天数为日間至5晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,麻醉科,脊柱內鏡診療手術 (腰椎 / 頸椎),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$40,000-$50,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术风险等级（一般风险/中等风险）。均在监测麻醉（MAC）下日间进行。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,麻醉科,脊髓電刺激植入術 (第一期測試 / 第二期永久),住院,1晚 - 3晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$37,500-$59,375""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：植入分期阶段（第一期测试阶段3晚 / 第二期永久植入1晚）与手术风险等级。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,耳鼻喉科,腺樣體＆扁桃體手術 (內窺鏡切除/同台複合手術),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$31,000-$51,250""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术具体类别（内窥镜单切腺样体/常规扁桃体切除/腺样体+扁桃体同台复合术）与手术风险等级。均在日间手术室完成。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,耳鼻喉科,鼻竇炎及鼻中隔手術 (FESS/鼻中隔矯正/複合術),住院,2晚 - 3晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$43,750-$109,375""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术复杂程度（功能性内窥镜FESS不伴鼻息肉/伴息肉切除/鼻中隔矫正/功能复合术业务）与手术风险等级。标准住院天数为2至3晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,耳鼻喉科,鼓膜修補＆顯微喉鏡手術 (伴或不伴活檢),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$27,500-$37,500""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：具体手术术式（常规鼓膜修补/显微喉镜检查+/-活组织检查）。注：针对未标注中等风险项，依照全局常规1.25倍系数拉齐极值区间。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,眼科,玻璃體注藥＆白內障超聲乳化晶體植入術,日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$9,000-$40,625""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：人工晶体级别选择（单焦距/双焦距/EDOF/三焦距非散光）、玻璃体注药术以及手术风险等级。均在局部麻醉下日间操作完成。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,眼科,斜視手術 (1條水平肌 / 2條水平肌),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$25,000-$34,375""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：矫正眼外肌数量（1条水平肌/2条水平肌）与手术风险等级().均在全身麻醉下日间完成。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,整形外科,急症 / 整形外科美容縫合套餐,日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$3,000-$6,250""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：伤口长度跨度与缝合材料（小于2cm / 2-4cm / 4-8cm / 4cm以内组织胶水缝合）与手术风险等级。均在日间操作完成。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,心血管內科,冠狀動脈造影＆支架置入術 (PCI),日間 / 住院,1晚 - 2晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$27,500-$92,500""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术路径术式（单纯造影日间/造影住院1晚/PCI造影+支架置入2晚）以及是否每增加一个支架（增项基准单价+20000）。,https://www.szufh.hk/shoushusf.html
